49,49,45,Bulbasaur,1,65,65,45,grass,poison,6.9,1,0,"['Overgrow', 'Chlorophyll']"
62,63,60,Ivysaur,2,80,80,60,grass,poison,13,1,0,"['Overgrow', 'Chlorophyll']"
100,123,80,Venusaur,3,122,120,80,grass,poison,100,1,0,"['Overgrow', 'Chlorophyll']"
52,43,39,Charmander,4,60,50,65,fire,,8.5,1,0,"['Blaze', 'Solar Power']"
64,58,58,Charmeleon,5,80,65,80,fire,,19,1,0,"['Blaze', 'Solar Power']"
104,78,78,Charizard,6,159,115,100,fire,flying,90.5,1,0,"['Blaze', 'Solar Power']"
48,65,44,Squirtle,7,50,64,43,water,,9,1,0,"['Torrent', 'Rain Dish']"
63,80,59,Wartortle,8,65,80,58,water,,22.5,1,0,"['Torrent', 'Rain Dish']"
103,120,79,Blastoise,9,135,115,78,water,,85.5,1,0,"['Torrent', 'Rain Dish']"
30,35,45,Caterpie,10,20,20,45,bug,,2.9,1,0,"['Shield Dust', 'Run Away']"
20,55,50,Metapod,11,25,25,30,bug,,9.9,1,0,['Shed Skin']
45,50,60,Butterfree,12,90,80,70,bug,flying,32,1,0,"['Compoundeyes', 'Tinted Lens']"
35,30,40,Weedle,13,20,20,50,bug,poison,3.2,1,0,"['Shield Dust', 'Run Away']"
25,50,45,Kakuna,14,25,25,35,bug,poison,10,1,0,['Shed Skin']
150,40,65,Beedrill,15,15,80,145,bug,poison,29.5,1,0,"['Swarm', 'Sniper']"
45,40,40,Pidgey,16,35,35,56,normal,flying,1.8,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
60,55,63,Pidgeotto,17,50,50,71,normal,flying,30,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
80,80,83,Pidgeot,18,135,80,121,normal,flying,39.5,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
56,35,30,Rattata,19,25,35,72,normal,dark,,1,0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
71,70,75,Raticate,20,40,80,77,normal,dark,,1,0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
60,30,40,Spearow,21,31,31,70,normal,flying,2,1,0,"['Keen Eye', 'Sniper']"
90,65,65,Fearow,22,61,61,100,normal,flying,38,1,0,"['Keen Eye', 'Sniper']"
60,44,35,Ekans,23,40,54,55,poison,,6.9,1,0,"['Intimidate', 'Shed Skin', 'Unnerve']"
95,69,60,Arbok,24,65,79,80,poison,,65,1,0,"['Intimidate', 'Shed Skin', 'Unnerve']"
55,40,35,Pikachu,25,50,50,90,electric,,6,1,0,"['Static', 'Lightningrod']"
85,50,60,Raichu,26,95,85,110,electric,electric,,1,0,"['Static', 'Lightningrod', 'Surge Surfer']"
75,90,50,Sandshrew,27,10,35,40,ground,ice,,1,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
100,120,75,Sandslash,28,25,65,65,ground,ice,,1,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
47,52,55,Nidoran♀,29,40,40,41,poison,,7,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
62,67,70,Nidorina,30,55,55,56,poison,,20,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
92,87,90,Nidoqueen,31,75,85,76,poison,ground,60,1,0,"['Poison Point', 'Rivalry', 'Sheer Force']"
57,40,46,Nidoran♂,32,40,40,50,poison,,9,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
72,57,61,Nidorino,33,55,55,65,poison,,19.5,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
102,77,81,Nidoking,34,85,75,85,poison,ground,62,1,0,"['Poison Point', 'Rivalry', 'Sheer Force']"
45,48,70,Clefairy,35,60,65,35,fairy,,7.5,1,0,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
70,73,95,Clefable,36,95,90,60,fairy,,40,1,0,"['Cute Charm', 'Magic Guard', 'Unaware']"
41,40,38,Vulpix,37,50,65,65,fire,ice,,1,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
67,75,73,Ninetales,38,81,100,109,fire,ice,,1,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
45,20,115,Jigglypuff,39,45,25,20,normal,fairy,5.5,1,0,"['Cute Charm', 'Competitive', 'Friend Guard']"
70,45,140,Wigglytuff,40,85,50,45,normal,fairy,12,1,0,"['Cute Charm', 'Competitive', 'Frisk']"
45,35,40,Zubat,41,30,40,55,poison,flying,7.5,1,0,"['Inner Focus', 'Infiltrator']"
80,70,75,Golbat,42,65,75,90,poison,flying,55,1,0,"['Inner Focus', 'Infiltrator']"
50,55,45,Oddish,43,75,65,30,grass,poison,5.4,1,0,"['Chlorophyll', 'Run Away']"
65,70,60,Gloom,44,85,75,40,grass,poison,8.6,1,0,"['Chlorophyll', 'Stench']"
80,85,75,Vileplume,45,110,90,50,grass,poison,18.6,1,0,"['Chlorophyll', 'Effect Spore']"
70,55,35,Paras,46,45,55,25,bug,grass,5.4,1,0,"['Effect Spore', 'Dry Skin', 'Damp']"
95,80,60,Parasect,47,60,80,30,bug,grass,29.5,1,0,"['Effect Spore', 'Dry Skin', 'Damp']"
55,50,60,Venonat,48,40,55,45,bug,poison,30,1,0,"['Compoundeyes', 'Tinted Lens', 'Run Away']"
65,60,70,Venomoth,49,90,75,90,bug,poison,12.5,1,0,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
55,30,10,Diglett,50,35,45,90,ground,ground,,1,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
100,60,35,Dugtrio,51,50,70,110,ground,ground,,1,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
35,35,40,Meowth,52,50,40,90,normal,dark,,1,0,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
60,60,65,Persian,53,75,65,115,normal,dark,,1,0,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
52,48,50,Psyduck,54,65,50,55,water,,19.6,1,0,"['Damp', 'Cloud Nine', 'Swift Swim']"
82,78,80,Golduck,55,95,80,85,water,,76.6,1,0,"['Damp', 'Cloud Nine', 'Swift Swim']"
80,35,40,Mankey,56,35,45,70,fighting,,28,1,0,"['Vital Spirit', 'Anger Point', 'Defiant']"
105,60,65,Primeape,57,60,70,95,fighting,,32,1,0,"['Vital Spirit', 'Anger Point', 'Defiant']"
70,45,55,Growlithe,58,70,50,60,fire,,19,1,0,"['Intimidate', 'Flash Fire', 'Justified']"
110,80,90,Arcanine,59,100,80,95,fire,,155,1,0,"['Intimidate', 'Flash Fire', 'Justified']"
50,40,40,Poliwag,60,40,40,90,water,,12.4,1,0,"['Water Absorb', 'Damp', 'Swift Swim']"
65,65,65,Poliwhirl,61,50,50,90,water,,20,1,0,"['Water Absorb', 'Damp', 'Swift Swim']"
95,95,90,Poliwrath,62,70,90,70,water,fighting,54,1,0,"['Water Absorb', 'Damp', 'Swift Swim']"
20,15,25,Abra,63,105,55,90,psychic,,19.5,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']"
35,30,40,Kadabra,64,120,70,105,psychic,,56.5,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']"
50,65,55,Alakazam,65,175,105,150,psychic,,48,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']"
80,50,70,Machop,66,35,35,35,fighting,,19.5,1,0,"['Guts', 'No Guard', 'Steadfast']"
100,70,80,Machoke,67,50,60,45,fighting,,70.5,1,0,"['Guts', 'No Guard', 'Steadfast']"
